category_name,property_type,building_size,land_size,preferred_size,listing_agency,price,location_number,address,address_1,city,state,zip_code,phone,product_depth,bedroom_count,bathroom_count,parking_count,RunDate
"Real Estate & Property for sale in DARWIN CITY, NT 0800",House,,,,Professionals - DARWIN CITY,435000.0,139468611,"44 Woods Street, Darwin City, NT 0800",44 Woods Street,Darwin City,NT,800,08 8941 8289,premiere,2.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,171.0,,171.0,Nick Mousellis Real Estate - Eview Group Member,320000.0,139463755,"14/14 Dashwood Place, Darwin City, NT 0800",14/14 Dashwood Place,Darwin City,NT,800,0411724000,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,Habitat Real Estate - THE GARDENS,310000.0,139462495,"13/86  Woods Street, Darwin City, NT 0800",13/86  Woods Street,Darwin City,NT,800,08 8981 0080,premiere,2.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",House,,,,Ray White - NIGHTCLIFF,259000.0,139451679,"1309/43B Knuckey Street, Darwin City, NT 0800",1309/43B Knuckey Street,Darwin City,NT,800,08 8982 2403,premiere,1.0,1.0,0.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,201.0,,201.0,Carol Need Real Estate - Fannie Bay,439000.0,139433803,"3/10 McLachlan Street, Darwin City, NT 0800",3/10 McLachlan Street,Darwin City,NT,800,0418885966,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,218.0,,218.0,iProperty NT - Darwin,825000.0,139434039,"1832/27 Woods  Street, Darwin City, NT 0800",1832/27 Woods  Street,Darwin City,NT,800,0404 877 261,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,Nicole Wheeler@realty - LARRAKEYAH,820000.0,139433055,"10/99 Gardens Road, Darwin City, NT 0800",10/99 Gardens Road,Darwin City,NT,800,0417508800,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,105.0,105.0,Property Shop - Darwin,369000.0,139419411,"10/94 Woods Street, Darwin City, NT 0800",10/94 Woods Street,Darwin City,NT,800,08 8981 5000,premiere,2.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,Real Estate Central Projects - Darwin,439000.0,139407883,"103/39 Cavenagh Street, Darwin City, NT 0800",103/39 Cavenagh Street,Darwin City,NT,800,08 8943 3000,premiere,2.0,2.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,Real Estate Central - DARWIN CITY,455000.0,139395811,"10/39 Cavenagh Street, Darwin City, NT 0800",10/39 Cavenagh Street,Darwin City,NT,800,08 8943 3000,premiere,2.0,2.0,1.0,2022-05-27 15:54:05
